TransectID,Meter,SampleID,Density.Quadrat.Size.m2,Total.shoots,Flowering.shoots,Cover.Quadrat.Size.m2,Percent.Seagrass,Percent.Bare,Percent.Other,Density.shoots.m2
2019-07-18_WA_C_L6,m4,2019-07-18_WA_C_L6_m4,0.25,11,2,0.25,,,,44
2019-07-18_WA_C_L6,m8,2019-07-18_WA_C_L6_m8,0.25,11,1,0.25,,,,44
2019-07-18_WA_C_L6,m12,2019-07-18_WA_C_L6_m12,0.25,10,0,0.25,,,,40
2019-07-18_WA_C_L6,m16,2019-07-18_WA_C_L6_m16,0.25,9,0,0.25,,,,36
2019-07-29_WA_D_U1,m4,2019-07-29_WA_D_U1_m4,0.25,18,0,0.25,100,0,20,72
2019-07-29_WA_D_U1,m8,2019-07-29_WA_D_U1_m8,0.25,16,2,0.25,60,0,60,64
2019-07-29_WA_D_U1,m12,2019-07-29_WA_D_U1_m12,0.25,28,0,0.25,70,10,30,112
2019-07-29_WA_D_U1,m16,2019-07-29_WA_D_U1_m16,0.25,21,2,0.25,70,30,10,84
2019-07-29_WA_D_U2,m4,2019-07-29_WA_D_U2_m4,0.25,25,2,0.25,55,45,0,100
2019-07-29_WA_D_U2,m8,2019-07-29_WA_D_U2_m8,0.25,21,0,0.25,50,50,0,84
2019-07-29_WA_D_U2,m12,2019-07-29_WA_D_U2_m12,0.25,19,0,0.25,60,40,10,76
2019-07-29_WA_D_U2,m16,2019-07-29_WA_D_U2_m16,0.25,24,0,0.25,75,25,30,96
2019-07-29_WA_D_U3,m4,2019-07-29_WA_D_U3_m4,0.25,16,2,0.25,80,20,10,64
2019-07-29_WA_D_U3,m8,2019-07-29_WA_D_U3_m8,0.25,15,0,0.25,60,40,10,60
2019-07-29_WA_D_U3,m12,2019-07-29_WA_D_U3_m12,0.25,27,0,0.25,80,20,10,108
2019-07-29_WA_D_U3,m16,2019-07-29_WA_D_U3_m16,0.25,18,0,0.25,75,20,10,72
2019-07-29_WA_D_L4,m4,2019-07-29_WA_D_L4_m4,0.25,30,0,0.25,80,20,0,120
2019-07-29_WA_D_L4,m8,2019-07-29_WA_D_L4_m8,0.25,24,1,0.25,40,50,15,96
2019-07-29_WA_D_L4,m12,2019-07-29_WA_D_L4_m12,0.25,11,0,0.25,80,20,0,44
2019-07-29_WA_D_L4,m16,2019-07-29_WA_D_L4_m16,0.25,27,0,0.25,80,20,0,108
2019-07-29_WA_D_L5,m4,2019-07-29_WA_D_L5_m4,0.25,31,1,0.25,90,10,10,124
2019-07-29_WA_D_L5,m8,2019-07-29_WA_D_L5_m8,0.25,18,0,0.25,30,60,15,72
2019-07-29_WA_D_L5,m12,2019-07-29_WA_D_L5_m12,0.25,17,0,0.25,25,0,75,68
2019-07-29_WA_D_L5,m16,2019-07-29_WA_D_L5_m16,0.25,29,2,0.25,60,20,20,116
2019-07-29_WA_D_L6,m4,2019-07-29_WA_D_L6_m4,0.25,27,0,0.25,40,0,60,108
2019-07-29_WA_D_L6,m8,2019-07-29_WA_D_L6_m8,0.25,31,3,0.25,40,20,40,124
2019-07-29_WA_D_L6,m12,2019-07-29_WA_D_L6_m12,0.25,31,3,0.25,70,0,30,124
2019-07-29_WA_D_L6,m16,2019-07-29_WA_D_L6_m16,0.25,14,2,0.25,30,20,70,56
2019-07-30_WA_E_U1,m4,2019-07-30_WA_E_U1_m4,0.25,5,0,0.25,15,50,40,20
2019-07-30_WA_E_U1,m8,2019-07-30_WA_E_U1_m8,0.25,7,0,0.25,20,0,100,28
2019-07-30_WA_E_U1,m12,2019-07-30_WA_E_U1_m12,0.25,20,0,0.25,30,40,70,80
2019-07-30_WA_E_U1,m16,2019-07-30_WA_E_U1_m16,0.25,13,0,0.25,25,25,60,52
2019-07-30_WA_E_U2,m4,2019-07-30_WA_E_U2_m4,0.25,7,0,0.25,30,50,20,28
2019-07-30_WA_E_U2,m8,2019-07-30_WA_E_U2_m8,0.25,7,1,0.25,20,70,40,28
2019-07-30_WA_E_U2,m12,2019-07-30_WA_E_U2_m12,0.25,3,0,0.25,10,70,30,12
2019-07-30_WA_E_U2,m16,2019-07-30_WA_E_U2_m16,0.25,0,0,0.25,0,80,20,0
2019-07-30_WA_E_U3,m4,2019-07-30_WA_E_U3_m4,0.25,13,0,0.25,50,50,0,52
2019-07-30_WA_E_U3,m8,2019-07-30_WA_E_U3_m8,0.25,15,0,0.25,90,10,0,60
2019-07-30_WA_E_U3,m12,2019-07-30_WA_E_U3_m12,0.25,13,0,0.25,60,40,0,52
2019-07-30_WA_E_U3,m16,2019-07-30_WA_E_U3_m16,0.25,6,1,0.25,20,80,0,24
2019-07-30_WA_E_L4,m4,2019-07-30_WA_E_L4_m4,0.25,1,0,0.25,5,80,15,4
2019-07-30_WA_E_L4,m8,2019-07-30_WA_E_L4_m8,0.25,11,0,0.25,20,50,20,44
2019-07-30_WA_E_L4,m12,2019-07-30_WA_E_L4_m12,0.25,15,0,0.25,50,40,30,60
2019-07-30_WA_E_L4,m16,2019-07-30_WA_E_L4_m16,0.25,0,0,0.25,0,80,20,0
2019-07-30_WA_E_L5,m4,2019-07-30_WA_E_L5_m4,0.25,4,0,0.25,50,50,0,16
2019-07-30_WA_E_L5,m8,2019-07-30_WA_E_L5_m8,0.25,5,0,0.25,30,60,10,20
2019-07-30_WA_E_L5,m12,2019-07-30_WA_E_L5_m12,0.25,6,0,0.25,40,60,0,24
2019-07-30_WA_E_L5,m16,2019-07-30_WA_E_L5_m16,0.25,10,0,0.25,40,50,10,40
2019-07-30_WA_E_L6,m4,2019-07-30_WA_E_L6_m4,0.25,14,0,0.25,50,50,0,56
2019-07-30_WA_E_L6,m8,2019-07-30_WA_E_L6_m8,0.25,11,0,0.25,60,40,0,44
2019-07-30_WA_E_L6,m12,2019-07-30_WA_E_L6_m12,0.25,8,0,0.25,40,60,0,32
2019-07-30_WA_E_L6,m16,2019-07-30_WA_E_L6_m16,0.25,9,0,0.25,80,20,0,36
2019-07-02_BB_A_U1,m4,2019-07-02_BB_A_U1_m4,0.25,50,2,0.5,100,0,0,200
2019-07-02_BB_A_U1,m8,2019-07-02_BB_A_U1_m8,0.25,34,3,0.5,100,0,5,136
2019-07-02_BB_A_U1,m12,2019-07-02_BB_A_U1_m12,0.25,36,1,0.5,95,0,35,144
2019-07-02_BB_A_U1,m16,2019-07-02_BB_A_U1_m16,0.25,57,2,0.5,100,0,20,228
2019-07-02_BB_A_U2,m4,2019-07-02_BB_A_U2_m4,0.25,62,0,0.5,100,0,40,248
2019-07-02_BB_A_U2,m8,2019-07-02_BB_A_U2_m8,0.25,31,1,0.5,95,5,25,124
2019-07-02_BB_A_U2,m12,2019-07-02_BB_A_U2_m12,0.25,67,5,0.5,95,5,40,268
2019-07-02_BB_A_U2,m16,2019-07-02_BB_A_U2_m16,0.25,45,2,0.5,95,5,25,180
2019-07-02_BB_A_U3,m4,2019-07-02_BB_A_U3_m4,0.25,55,5,0.5,100,0,10,220
2019-07-02_BB_A_U3,m8,2019-07-02_BB_A_U3_m8,0.25,46,0,0.5,100,0,2,184
2019-07-02_BB_A_U3,m12,2019-07-02_BB_A_U3_m12,0.25,60,0,0.5,100,0,10,240
2019-07-02_BB_A_U3,m16,2019-07-02_BB_A_U3_m16,0.25,80,1,0.5,100,0,35,320
2019-07-02_BB_A_L4,m4,2019-07-02_BB_A_L4_m4,0.25,24,0,0.5,95,0,0,96
2019-07-02_BB_A_L4,m8,2019-07-02_BB_A_L4_m8,0.25,34,0,0.5,100,0,0,136
2019-07-02_BB_A_L4,m12,2019-07-02_BB_A_L4_m12,0.25,27,0,0.5,90,10,1,108
2019-07-02_BB_A_L4,m16,2019-07-02_BB_A_L4_m16,0.25,29,0,0.5,100,0,0,116
2019-07-02_BB_A_L5,m4,2019-07-02_BB_A_L5_m4,0.25,55,0,0.5,100,0,10,220
2019-07-02_BB_A_L5,m8,2019-07-02_BB_A_L5_m8,0.25,30,0,0.5,90,10,0,120
2019-07-02_BB_A_L5,m12,2019-07-02_BB_A_L5_m12,0.25,32,0,0.5,85,15,2,128
2019-07-02_BB_A_L5,m16,2019-07-02_BB_A_L5_m16,0.25,36,2,0.5,95,5,0,144
2019-07-02_BB_A_L6,m4,2019-07-02_BB_A_L6_m4,0.25,31,3,0.5,100,0,10,124
2019-07-02_BB_A_L6,m8,2019-07-02_BB_A_L6_m8,0.25,29,0,0.5,100,0,0,116
2019-07-02_BB_A_L6,m12,2019-07-02_BB_A_L6_m12,0.25,27,1,0.5,90,10,0,108
2019-07-02_BB_A_L6,m16,2019-07-02_BB_A_L6_m16,0.25,42,0,0.5,100,0,1,168
2019-07-03_BB_B_U1,m4,2019-07-03_BB_B_U1_m4,0.25,75,0,0.5,80,20,0,300
2019-07-03_BB_B_U1,m8,2019-07-03_BB_B_U1_m8,0.25,136,3,0.5,100,0,0,544
2019-07-03_BB_B_U1,m12,2019-07-03_BB_B_U1_m12,0.25,49,3,0.5,100,0,0,196
2019-07-03_BB_B_U1,m16,2019-07-03_BB_B_U1_m16,0.25,118,0,0.5,95,5,0,472
2019-07-03_BB_B_U2,m4,2019-07-03_BB_B_U2_m4,0.25,70,1,0.5,90,10,0,280
2019-07-03_BB_B_U2,m8,2019-07-03_BB_B_U2_m8,0.25,132,3,0.5,100,0,0,528
2019-07-03_BB_B_U2,m12,2019-07-03_BB_B_U2_m12,0.25,0,0,0.5,0,100,0,0
2019-07-03_BB_B_U2,m16,2019-07-03_BB_B_U2_m16,0.25,84,1,0.5,55,45,0,336
2019-07-03_BB_B_U3,m4,2019-07-03_BB_B_U3_m4,0.25,67,0,0.5,52,48,0,268
2019-07-03_BB_B_U3,m8,2019-07-03_BB_B_U3_m8,0.25,70,1,0.5,98,2,0,280
2019-07-03_BB_B_U3,m12,2019-07-03_BB_B_U3_m12,0.25,167,0,0.5,100,0,0,668
2019-07-03_BB_B_U3,m16,2019-07-03_BB_B_U3_m16,0.25,65,1,0.5,35,65,0,260
2019-07-03_BB_B_L4,m4,2019-07-03_BB_B_L4_m4,0.25,113,1,0.5,100,0,0,452
2019-07-03_BB_B_L4,m8,2019-07-03_BB_B_L4_m8,0.25,114,1,0.5,64,36,0,456
2019-07-03_BB_B_L4,m12,2019-07-03_BB_B_L4_m12,0.25,217,0,0.5,100,0,0,868
2019-07-03_BB_B_L4,m16,2019-07-03_BB_B_L4_m16,0.25,128,0,0.5,96,4,0,512
2019-07-03_BB_B_L5,m4,2019-07-03_BB_B_L5_m4,0.25,153,0,0.5,95,5,0,612
2019-07-03_BB_B_L5,m8,2019-07-03_BB_B_L5_m8,0.25,79,0,0.5,86,14,0,316
2019-07-03_BB_B_L5,m12,2019-07-03_BB_B_L5_m12,0.25,133,0,0.5,80,20,0,532
2019-07-03_BB_B_L5,m16,2019-07-03_BB_B_L5_m16,0.25,81,0,0.5,82,18,0,324
2019-07-03_BB_B_L6,m4,2019-07-03_BB_B_L6_m4,0.25,104,0,0.5,100,0,0,416
2019-07-03_BB_B_L6,m8,2019-07-03_BB_B_L6_m8,0.25,2,0,0.5,16,84,0,8
2019-07-03_BB_B_L6,m12,2019-07-03_BB_B_L6_m12,0.25,120,3,0.5,100,0,0,480
2019-07-03_BB_B_L6,m16,2019-07-03_BB_B_L6_m16,0.25,110,0,0.5,94,6,0,440
2019-07-05_BB_C_U1,m4,2019-07-05_BB_C_U1_m4,0.25,24,2,0.5,95,5,40,96
2019-07-05_BB_C_U1,m8,2019-07-05_BB_C_U1_m8,0.25,9,0,0.5,30,70,70,36
2019-07-05_BB_C_U1,m12,2019-07-05_BB_C_U1_m12,0.25,6,0,0.5,20,80,50,24
2019-07-05_BB_C_U1,m16,2019-07-05_BB_C_U1_m16,0.25,21,1,0.5,95,5,50,84
2019-07-05_BB_C_U2,m4,2019-07-05_BB_C_U2_m4,0.25,36,1,0.5,90,10,50,144
2019-07-05_BB_C_U2,m8,2019-07-05_BB_C_U2_m8,0.25,34,0,0.5,50,50,80,136
2019-07-05_BB_C_U2,m12,2019-07-05_BB_C_U2_m12,0.25,24,3,0.5,75,25,60,96
2019-07-05_BB_C_U2,m16,2019-07-05_BB_C_U2_m16,0.25,15,1,0.5,80,20,75,60
2019-07-05_BB_C_U3,m4,2019-07-05_BB_C_U3_m4,0.25,22,0,0.5,85,15,15,88
2019-07-05_BB_C_U3,m8,2019-07-05_BB_C_U3_m8,0.25,25,3,0.5,80,20,45,100
2019-07-05_BB_C_U3,m12,2019-07-05_BB_C_U3_m12,0.25,18,1,0.5,85,15,95,72
2019-07-05_BB_C_U3,m16,2019-07-05_BB_C_U3_m16,0.25,12,0,0.5,73,27,90,48
2019-07-05_BB_C_L4,m4,2019-07-05_BB_C_L4_m4,0.25,16,0,0.5,85,15,100,64
2019-07-05_BB_C_L4,m8,2019-07-05_BB_C_L4_m8,0.25,18,4,0.5,90,10,25,72
2019-07-05_BB_C_L4,m12,2019-07-05_BB_C_L4_m12,0.25,9,0,0.5,60,40,90,36
2019-07-05_BB_C_L4,m16,2019-07-05_BB_C_L4_m16,0.25,4,0,0.5,40,60,75,16
2019-07-05_BB_C_L5,m4,2019-07-05_BB_C_L5_m4,0.25,30,0,0.5,90,10,100,120
2019-07-05_BB_C_L5,m8,2019-07-05_BB_C_L5_m8,0.25,10,0,0.5,50,50,50,40
2019-07-05_BB_C_L5,m12,2019-07-05_BB_C_L5_m12,0.25,12,1,0.5,40,60,80,48
2019-07-05_BB_C_L5,m16,2019-07-05_BB_C_L5_m16,0.25,7,0,0.5,30,70,30,28
2019-07-05_BB_C_L6,m4,2019-07-05_BB_C_L6_m4,0.25,11,0,0.5,50,50,100,44
2019-07-05_BB_C_L6,m8,2019-07-05_BB_C_L6_m8,0.25,16,2,0.5,30,70,50,64
2019-07-05_BB_C_L6,m12,2019-07-05_BB_C_L6_m12,0.25,0,0,0.5,10,90,100,0
2019-07-05_BB_C_L6,m16,2019-07-05_BB_C_L6_m16,0.25,6,0,0.5,40,60,70,24
2019-07-17_BB_D_U1,m4,2019-07-17_BB_D_U1_m4,0.25,10,0,0.5,85,15,0,40
2019-07-17_BB_D_U1,m8,2019-07-17_BB_D_U1_m8,0.25,16,3,0.5,70,30,0,64
2019-07-17_BB_D_U1,m12,2019-07-17_BB_D_U1_m12,0.25,16,0,0.5,70,30,5,64
2019-07-17_BB_D_U1,m16,2019-07-17_BB_D_U1_m16,0.25,18,0,0.5,60,40,0,72
2019-07-17_BB_D_U2,m4,2019-07-17_BB_D_U2_m4,0.25,12,1,0.5,50,50,0,48
2019-07-17_BB_D_U2,m8,2019-07-17_BB_D_U2_m8,0.25,12,0,0.5,60,40,0,48
2019-07-17_BB_D_U2,m12,2019-07-17_BB_D_U2_m12,0.25,10,0,0.5,50,50,5,40
2019-07-17_BB_D_U2,m16,2019-07-17_BB_D_U2_m16,0.25,12,1,0.5,50,50,0,48
2019-07-17_BB_D_U3,m4,2019-07-17_BB_D_U3_m4,0.25,16,1,0.5,80,20,0,64
2019-07-17_BB_D_U3,m8,2019-07-17_BB_D_U3_m8,0.25,19,0,0.5,90,10,7,76
2019-07-17_BB_D_U3,m12,2019-07-17_BB_D_U3_m12,0.25,15,0,0.5,70,30,5,60
2019-07-17_BB_D_U3,m16,2019-07-17_BB_D_U3_m16,0.25,15,1,0.5,90,10,15,60
2019-07-17_BB_D_L4,m4,2019-07-17_BB_D_L4_m4,0.25,18,0,0.5,80,20,8,72
2019-07-17_BB_D_L4,m8,2019-07-17_BB_D_L4_m8,0.25,13,0,0.5,60,40,20,52
2019-07-17_BB_D_L4,m12,2019-07-17_BB_D_L4_m12,0.25,16,0,0.5,60,40,3,64
2019-07-17_BB_D_L4,m16,2019-07-17_BB_D_L4_m16,0.25,10,0,0.5,50,50,15,40
2019-07-17_BB_D_L5,m4,2019-07-17_BB_D_L5_m4,0.25,12,0,0.5,60,40,6,48
2019-07-17_BB_D_L5,m8,2019-07-17_BB_D_L5_m8,0.25,11,1,0.5,40,60,0,44
2019-07-17_BB_D_L5,m12,2019-07-17_BB_D_L5_m12,0.25,10,0,0.5,45,55,0,40
2019-07-17_BB_D_L5,m16,2019-07-17_BB_D_L5_m16,0.25,12,0,0.5,80,20,0,48
2019-07-17_BB_D_L6,m4,2019-07-17_BB_D_L6_m4,0.25,11,0,0.5,50,50,0,44
2019-07-17_BB_D_L6,m8,2019-07-17_BB_D_L6_m8,0.25,9,1,0.5,35,65,0,36
2019-07-17_BB_D_L6,m12,2019-07-17_BB_D_L6_m12,0.25,13,0,0.5,40,60,3,52
2019-07-17_BB_D_L6,m16,2019-07-17_BB_D_L6_m16,0.25,9,0,0.5,35,65,0,36
2019-07-31_BB_E_U1,m4,2019-07-31_BB_E_U1_m4,0.25,17,0,0.5,75,25,0,68
2019-07-31_BB_E_U1,m8,2019-07-31_BB_E_U1_m8,0.25,16,0,0.5,80,20,0,64
2019-07-31_BB_E_U1,m12,2019-07-31_BB_E_U1_m12,0.25,13,0,0.5,50,50,1,52
2019-07-31_BB_E_U1,m16,2019-07-31_BB_E_U1_m16,0.25,19,0,0.5,70,30,5,76
2019-07-31_BB_E_U2,m4,2019-07-31_BB_E_U2_m4,0.25,19,0,0.5,75,25,0,76
2019-07-31_BB_E_U2,m8,2019-07-31_BB_E_U2_m8,0.25,9,0,0.5,40,60,0,36
2019-07-31_BB_E_U2,m12,2019-07-31_BB_E_U2_m12,0.25,13,0,0.5,70,30,0,52
2019-07-31_BB_E_U2,m16,2019-07-31_BB_E_U2_m16,0.25,18,0,0.5,70,30,0,72
2019-07-31_BB_E_U3,m4,2019-07-31_BB_E_U3_m4,0.25,8,0,0.5,70,30,5,32
2019-07-31_BB_E_U3,m8,2019-07-31_BB_E_U3_m8,0.25,14,0,0.5,65,35,60,56
2019-07-31_BB_E_U3,m12,2019-07-31_BB_E_U3_m12,0.25,9,0,0.5,75,25,50,36
2019-07-31_BB_E_U3,m16,2019-07-31_BB_E_U3_m16,0.25,17,0,0.5,85,15,0,68
2019-07-31_BB_E_L4,m4,2019-07-31_BB_E_L4_m4,0.25,23,0,0.5,65,35,0,92
2019-07-31_BB_E_L4,m8,2019-07-31_BB_E_L4_m8,0.25,21,0,0.5,90,10,5,84
2019-07-31_BB_E_L4,m12,2019-07-31_BB_E_L4_m12,0.25,5,0,0.5,50,50,25,20
2019-07-31_BB_E_L4,m16,2019-07-31_BB_E_L4_m16,0.25,13,0,0.5,75,25,5,52
2019-07-31_BB_E_L5,m4,2019-07-31_BB_E_L5_m4,0.25,14,0,0.5,75,25,20,56
2019-07-31_BB_E_L5,m8,2019-07-31_BB_E_L5_m8,0.25,9,0,0.5,75,25,25,36
2019-07-31_BB_E_L5,m12,2019-07-31_BB_E_L5_m12,0.25,9,0,0.5,60,40,90,36
2019-07-31_BB_E_L5,m16,2019-07-31_BB_E_L5_m16,0.25,13,0,0.5,60,40,60,52
2019-07-31_BB_E_L6,m4,2019-07-31_BB_E_L6_m4,0.25,16,0,0.5,75,25,15,64
2019-07-31_BB_E_L6,m8,2019-07-31_BB_E_L6_m8,0.25,10,0,0.5,50,50,25,40
2019-07-31_BB_E_L6,m12,2019-07-31_BB_E_L6_m12,0.25,20,0,0.5,80,20,10,80
2019-07-31_BB_E_L6,m16,2019-07-31_BB_E_L6_m16,0.25,28,0,0.5,75,25,5,112
2019-08-02_BB_F_U1,m4,2019-08-02_BB_F_U1_m4,0.25,29,0,0.5,90,10,0,116
2019-08-02_BB_F_U1,m8,2019-08-02_BB_F_U1_m8,0.25,29,0,0.5,90,10,0,116
2019-08-02_BB_F_U1,m12,2019-08-02_BB_F_U1_m12,0.25,24,0,0.5,85,15,0,96
2019-08-02_BB_F_U1,m16,2019-08-02_BB_F_U1_m16,0.25,31,0,0.5,85,15,0,124
2019-08-02_BB_F_U2,m4,2019-08-02_BB_F_U2_m4,0.25,25,2,0.5,95,5,0,100
2019-08-02_BB_F_U2,m8,2019-08-02_BB_F_U2_m8,0.25,36,0,0.5,100,0,0,144
2019-08-02_BB_F_U2,m12,2019-08-02_BB_F_U2_m12,0.25,33,0,0.5,95,5,0,132
2019-08-02_BB_F_U2,m16,2019-08-02_BB_F_U2_m16,0.25,25,0,0.5,95,5,0,100
2019-08-02_BB_F_U3,m4,2019-08-02_BB_F_U3_m4,0.25,20,3,0.5,80,20,0,80
